NID,CCN,REPORTDATETIME,SHIFT,OFFENSE,METHOD,LASTMODIFIEDDATE,BLOCKSITEADDRESS,NARRATIVE,LATITUDE,LONGITUDE,CITY,STATE,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
481216,6013856,1/30/2006 12:00:00 AM,EVN,THEFT,2,9/15/2009 7:03:23 AM,200 B/O RHODE ISLAND AVE NW,NO NARRATIVE IS AVAILABLE.,38.9147171965139,-77.0149851310962,WASHINGTON,DC,1,1B,1B01,THIRD,305,3,NONE,NONE,NONE,NONE
481715,6016558,2/5/2006 12:00:00 AM,UNK,THEFT F/AUTO,2,9/15/2009 7:03:23 AM,UNIT B/O F ST NW,C1 RPTS THAT UNK PERSONS BROKE INTO HIS VEH BY SMASHING THE FRONT PASSENGER WINDOW. THE LISTED ITEM WAS STOLEN.,38.8973081360764,-77.0106631760166,WASHINGTON,DC,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
487267,6043677,4/5/2006 12:00:00 AM,MID,THEFT F/AUTO,2,9/15/2009 7:03:23 AM,200 B/O RHODE ISLAND AVE NW,C1 REPORTS THAT UNKNOWN PERSON(S) BROKE INTO THE VEHICLE AND STOLE VARIOUS ITEMS.,38.9147171965139,-77.0149851310962,WASHINGTON,DC,5,5C,5C03,FIFTH,501,21,NONE,NONE,NONE,NONE
490248,6057507,5/3/2006 12:00:00 AM,MID,BURGLARY,2,9/15/2009 7:03:23 AM,3100 B/O 15TH PL SE,NO NARRATIVE IS AVAILABLE.,38.8504500963027,-76.9823326352652,WASHINGTON,DC,8,8E,8E01,SEVENTH,704,38,NONE,NONE,NONE,NONE
490251,6057492,5/3/2006 12:00:00 AM,MID,THEFT F/AUTO,1,9/15/2009 7:03:23 AM,200 B/O RHODE ISLAND AVE NW,NO NARRATIVE IS AVAILABLE.,38.9147171965139,-77.0149851310962,WASHINGTON,DC,5,5C,5C03,FIFTH,501,21,NONE,NONE,NONE,NONE
491365,6062093,5/12/2006 12:00:00 AM,MID,BURGLARY,2,9/15/2009 7:03:23 AM,3100 B/O 15TH PL SE,R1 REPORTS FOR C1 THAT BETWEEN THE LISTED DATE & TIME THAT UNKNOWN SUSP(S) ENTERED THE LISTED LOCATION THROUGH AN UNSECURE GATE & STOLE VARIOUS PROPERTY. {CONSTRUCTION},38.8504500963027,-76.9823326352652,WASHINGTON,DC,8,8E,8E01,SEVENTH,704,38,NONE,NONE,NONE,NONE
496849,6087725,7/2/2006 12:00:00 AM,MID,THEFT F/AUTO,2,9/15/2009 7:03:23 AM,2100 B/O 15TH ST NW,NO NARRATIVE IS AVAILABLE.,38.9185415759376,-77.0345993366455,WASHINGTON,DC,1,1B,1B04,THIRD,305,3,NONE,NONE,NONE,NONE
500792,6105448,8/3/2006 12:00:00 AM,EVN,THEFT F/AUTO,1,9/15/2009 7:03:23 AM,UNIT B/O F ST NW,C1 REPORTS UNKNOWN PERSON(S) ENTERED HIS VEHICLE BY UNKNOWN MEANS AND STOLE VARIOUS PROPERTY.,38.8973081360764,-77.0106631760166,WASHINGTON,DC,6,6C,6C08,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
500835,6105637,8/4/2006 12:00:00 AM,DAY,ROBBERY,F&V,9/15/2009 7:03:23 AM,UNIT B/O 49TH ST NE,"C1 WAS WALKING TO A BUS STATION WHEN THREE SUBJECTS IN A WHITE VAN APPROACHED, S1 HIT C1 WITH A BASEBALL BAT WHILE S2 & S3 PUNCHED HIM AND THEY TOOK $31 FROM C1. C1 WAS TRANSPORTED TO GREATER SOUTHEAST HOSPITAL B",38.8903664467587,-76.9329483985462,WASHINGTON,DC,7,7C,7C03,SIXTH,602,33,NONE,NONE,NONE,NONE
502156,6112442,8/17/2006 12:00:00 AM,MID,BURGLARY,1,9/15/2009 7:03:23 AM,200 B/O RHODE ISLAND AVE NW,"C1 AND C2 REPORTS WHILE UPSTAIRS WATCHING TV, TWO UNKNOWN SUSPECTS ENTERED THEIR HOME THROUGH A REAR WINDOW THAT WAS LEFT UNLOCKED BY C2. ONCE SUSPECTS WERE INSIDE THEY STOLE VARIOUS PROPERTY. SUSPECTS THEN FLED EAST IN THE ALLEY.",38.9147171965139,-77.0149851310962,WASHINGTON,DC,5,5C,5C03,FIFTH,501,21,NONE,NONE,NONE,NONE
